index,day,slice,sex,age,educ,effective,healthy,ratio,avgOpinion
0,0,0,2,1,3,193543,16524.5,0.08537895971437873,0.4899286946348109
1,0,1,2,1,3,193543,17956.9,0.09277989904052329,0.4931404721052
2,0,2,2,1,3,193543,18690.0,0.09656768780064377,0.4985268345460591
3,1,0,2,1,3,193543,19067.4,0.09851764207437108,0.5050431339625069
4,1,1,2,1,3,193543,19221.3,0.09931281420666208,0.5125163598071399
5,1,2,2,1,3,193543,19290.8,0.09967190753475971,0.520483990728519
6,2,0,2,1,3,193543,19328.7,0.09986772965180864,0.5289246010727704
7,2,1,2,1,3,193543,19354.7,0.1000020667241905,0.537473457787439
8,2,2,2,1,3,193543,19370.7,0.10008473569181006,0.5457723358514582
9,3,0,2,1,3,193543,19382.9,0.10014777077962003,0.5540771409775265
10,3,1,2,1,3,193543,19393.6,0.10020305565171564,0.5617368656190637
11,3,2,2,1,3,193543,19402.2,0.10024749022181116,0.5693041434654544
12,4,0,2,1,3,193543,19415.5,0.10031620880114496,0.5768761822804966
13,4,1,2,1,3,193543,19447.2,0.10047999669324129,0.5840442036621682
14,4,2,2,1,3,193543,19542.5,0.10097239373162552,0.5914350958727057
15,5,0,2,1,3,193543,19823.4,0.10242375079439711,0.5988423410594221
16,5,1,2,1,3,193543,20502.0,0.10592994838356336,0.6059084706217427
17,5,2,2,1,3,193543,21752.8,0.11239259492722549,0.6134493350459203
