"","Sex","Age","Edu","n","n_2002","n_2008","conso_5_2002","conso_5_2008","conso_5_2002_2008","habit_constraint","budget_constraint","time_constraint","social_context_breakfast","social_context_lunch","social_context_dinner","opinion_index_Hq1","opinion_index_Hq2","opinion_index_Hq3","opinion_index_Hq4","opinion_index_Hq5","Group.1","opinion_index_Uq1","opinion_index_Uq2","opinion_index_Uq3","opinion_index_Uq4","opinion_index_Uq5"
"1",1,1,1,200,52,148,0.0192307692307692,0.027027027027027,0.025,0.526785714285714,0.536,0.424,0.142857142857143,0.452513966480447,0.248704663212435,0,0,0,1,0,"1_1_1",0,0.0816326530612245,0.489795918367347,0.387755102040816,0.0408163265306122
"2",1,1,2,320,97,223,0.0309278350515464,0.0493273542600897,0.04375,0.58411214953271,0.558441558441558,0.471861471861472,0.0842490842490843,0.431893687707641,0.172638436482085,0,0,0.666666666666667,0.333333333333333,0,"1_1_2",0.010752688172043,0.0967741935483871,0.440860215053763,0.397849462365591,0.0537634408602151
"3",1,1,3,221,84,137,0.0357142857142857,0.072992700729927,0.0588235294117647,0.654545454545455,0.611464968152866,0.583333333333333,0.106951871657754,0.468599033816425,0.31924882629108,0,0,0,0.666666666666667,0.333333333333333,"1_1_3",0,0.0864197530864197,0.432098765432099,0.432098765432099,0.0493827160493827
"4",1,2,1,596,241,355,0.0497925311203319,0.0816901408450704,0.0687919463087248,0.6375,0.565011820330969,0.409952606635071,0.0548672566371681,0.297153024911032,0.107638888888889,0,0,0.25,0.666666666666667,0.0833333333333333,"1_2_1",0.00446428571428571,0.0580357142857143,0.508928571428571,0.415178571428571,0.0133928571428571
"5",1,2,2,347,122,225,0.0737704918032787,0.111111111111111,0.0979827089337176,0.83743842364532,0.476363636363636,0.485401459854015,0.0640243902439024,0.36890243902439,0.156342182890855,0,0,0.444444444444444,0.555555555555556,0,"1_2_2",0,0.0353982300884956,0.451327433628319,0.486725663716814,0.0265486725663717
"6",1,2,3,298,118,180,0.0593220338983051,0.166666666666667,0.124161073825503,0.829545454545455,0.433734939759036,0.598393574297189,0.0492957746478873,0.410714285714286,0.14041095890411,0,0,0,0.714285714285714,0.285714285714286,"1_2_3",0,0.027027027027027,0.387387387387387,0.540540540540541,0.045045045045045
"7",1,3,1,244,95,149,0.147368421052632,0.174496644295302,0.163934426229508,0.578947368421053,0.531791907514451,0.276470588235294,0.016597510373444,0.0452674897119342,0.0336134453781513,0,0.0714285714285714,0.285714285714286,0.571428571428571,0.0714285714285714,"1_3_1",0,0.0759493670886076,0.291139240506329,0.632911392405063,0
"8",1,3,2,77,31,46,0.032258064516129,0.239130434782609,0.155844155844156,0.863636363636364,0.466666666666667,0.366666666666667,0.0131578947368421,0.0533333333333333,0.0649350649350649,0,0,0,1,0,"1_3_2",0,0.0333333333333333,0.4,0.533333333333333,0.0333333333333333
"9",1,3,3,62,28,34,0.178571428571429,0.205882352941176,0.193548387096774,0.925,0.294117647058824,0.5,0.0333333333333333,0.131147540983607,0.0645161290322581,0,0,0.4,0.6,0,"1_3_3",0,0.0434782608695652,0.608695652173913,0.347826086956522,0
"10",2,1,1,176,66,110,0.0303030303030303,0.0363636363636364,0.0340909090909091,0.716981132075472,0.726495726495726,0.521739130434783,0.111801242236025,0.314465408805031,0.160714285714286,0,0,0.5,0.5,0,"2_1_1",0.0158730158730159,0.0952380952380952,0.444444444444444,0.349206349206349,0.0952380952380952
"11",2,1,2,373,121,252,0.0495867768595041,0.0873015873015873,0.0750670241286863,0.762845849802372,0.629370629370629,0.531468531468531,0.0752351097178683,0.38,0.147945205479452,0,0,0.166666666666667,0.833333333333333,0,"2_1_2",0.0087719298245614,0.0701754385964912,0.359649122807018,0.491228070175439,0.0701754385964912
"12",2,1,3,295,100,195,0.07,0.0769230769230769,0.0745762711864407,0.80794701986755,0.701834862385321,0.682027649769585,0.121673003802281,0.452296819787986,0.274305555555556,0,0,0.285714285714286,0.571428571428571,0.142857142857143,"2_1_3",0,0.032258064516129,0.333333333333333,0.559139784946237,0.0752688172043011
"13",2,2,1,710,341,369,0.134897360703812,0.105691056910569,0.119718309859155,0.771717171717172,0.690048939641109,0.532362459546926,0.044862518089725,0.205397301349325,0.0840579710144927,0,0,0.152173913043478,0.739130434782609,0.108695652173913,"2_2_1",0.00348432055749129,0.0313588850174216,0.29616724738676,0.623693379790941,0.0452961672473868
"14",2,2,2,480,178,302,0.146067415730337,0.119205298013245,0.129166666666667,0.853521126760563,0.658371040723982,0.645454545454546,0.0445859872611465,0.289473684210526,0.0955414012738854,0,0,0.0384615384615385,0.846153846153846,0.115384615384615,"2_2_2",0,0.0263157894736842,0.263157894736842,0.657894736842105,0.0526315789473684
"15",2,2,3,335,124,211,0.145161290322581,0.170616113744076,0.161194029850746,0.885593220338983,0.592833876221498,0.752442996742671,0.0398773006134969,0.342507645259939,0.113149847094801,0,0,0.222222222222222,0.722222222222222,0.0555555555555556,"2_2_3",0,0.0283018867924528,0.188679245283019,0.69811320754717,0.0849056603773585
"16",2,3,1,476,235,241,0.2,0.219917012448133,0.210084033613445,0.706827309236948,0.722838137472284,0.353200883002208,0.0170575692963753,0.127118644067797,0.0622317596566524,0,0,0.260869565217391,0.652173913043478,0.0869565217391304,"2_3_1",0,0.021978021978022,0.214285714285714,0.714285714285714,0.0494505494505494
"17",2,3,2,133,46,87,0.260869565217391,0.310344827586207,0.293233082706767,0.805555555555556,0.689922480620155,0.48062015503876,0.0827067669172932,0.198473282442748,0.078740157480315,0,0,0.0833333333333333,0.833333333333333,0.0833333333333333,"2_3_2",0,0,0.147058823529412,0.794117647058823,0.0588235294117647
"18",2,3,3,57,17,40,0.235294117647059,0.3,0.280701754385965,0.818181818181818,0.607142857142857,0.696428571428571,0.0526315789473684,0.178571428571429,0.142857142857143,0,0,0,0.75,0.25,"2_3_3",0,0,0.230769230769231,0.692307692307692,0.0769230769230769
